time,f
0,-54.630888383113046
100,-55.81346735230551
200,-55.818199311735356
300,-55.820819552242995
400,-55.823192405454876
500,-55.825715370815956
600,-55.82857379665538
700,-55.83190516143259
800,-55.835842311695856
900,-55.840531299521004
1000,-55.84614230664196
1100,-55.85287895439259
1200,-55.86098810800515
1300,-55.87077137518946
1400,-55.8825992933499
1500,-55.89692929418105
1600,-55.914328825079835
1700,-55.93550549410302
1800,-55.96134684574629
1900,-55.99297347634075
2000,-56.03181083087641
2100,-56.07968744141153
2200,-56.13897092726393
2300,-56.21275822569441
2400,-56.30514366397915
2500,-56.421597492731664
2600,-56.56949629834137
2700,-56.75884780807449
2800,-57.003226345147134
2900,-57.32084222690637
3000,-57.73546024644838
3100,-58.27657914062313
3200,-58.978133648664326
3300,-59.875437802634885
3400,-61.001125096120354
3500,-62.381269543546466
3600,-64.03186882558683
3700,-65.95507848961044
3800,-68.13546186496129
3900,-70.53748621135279
4000,-73.10527821885995
4100,-75.7651362697525
4200,-78.43119441262351
4300,-81.01450053373095
4400,-83.4348007569574
4500,-85.6324053378076
4600,-87.57587757411468
4700,-89.26233320171634
4800,-90.71107238284196
4900,-91.95448332725083
5000,-93.030094902465
5100,-93.97531817342214
5200,-94.82415431419192
5300,-95.60472578746909
5400,-96.33762187841192
5500,-97.03585755744413
5600,-97.70661649700133
5700,-98.3536050928977
5800,-98.97849504342095
5900,-99.58065390484859
6000,-100.15556699776376
6100,-100.69480179255535
6200,-101.19006035977014
6300,-101.63803958964311
6400,-102.04150735040827
6500,-102.4071756374013
6600,-102.74313298439489
6700,-103.05722738244953
6800,-103.3564614463205
6900,-103.64694384651762
7000,-103.93397606670102
7100,-104.22211404400258
7200,-104.51514648796189
7300,-104.8157861548332
7400,-105.12487588512771
7500,-105.44062857582668
7600,-105.75919216568522
7700,-106.07652825878881
7800,-106.38959401015762
7900,-106.69602016906185
8000,-106.99374807953374
8100,-107.28161867705494
8200,-107.56006297683626
8300,-107.83104635206325
8400,-108.09751260623894
8500,-108.36270321071495
8600,-108.62933398140419
8700,-108.898683894588
8800,-109.17024509423223
8900,-109.44247011758114
9000,-109.71367135986597
9100,-109.98196700343269
9200,-110.24514934369893
9300,-110.50149887583713
9400,-110.75046656656923
9500,-110.99204698054098
9600,-111.22552131056436
9700,-111.44914253016485
9800,-111.66126664595242
9900,-111.86161619292253
10000,-112.05156764521367
10100,-112.2337817523818
10200,-112.41177783775333
10300,-112.58958394861978
10400,-112.77126466403158
10500,-112.96002833294051
10600,-113.15692410092097
10700,-113.3602031109501
10800,-113.56672471612224
10900,-113.77421231055368
11000,-113.98170812010372
11100,-114.18822822274524
11200,-114.39174501142624
11300,-114.58983454918376
11400,-114.78106640883664
11500,-114.96551015091896
11600,-115.14423098809462
11700,-115.31859169219271
11800,-115.48982858147568
11900,-115.65889978285966
12000,-115.82647263910407
12100,-115.99295800819834
12200,-116.15855767604604
12300,-116.32332171180418
12400,-116.48721679229949
12500,-116.65019917910007
