w,steps
1.0,2861
1.02,2758
1.04,2659
1.06,2563
1.08,2471
1.1,2381
1.12,2293
1.1400000000000001,2210
1.1600000000000001,2128
1.1800000000000002,2049
1.2000000000000002,1973
1.2200000000000002,1898
1.2400000000000002,1825
1.2600000000000002,1755
1.2800000000000002,1687
1.3000000000000003,1620
1.3200000000000003,1555
1.3400000000000003,1492
1.3600000000000003,1431
1.3800000000000003,1370
1.4000000000000004,1312
1.4200000000000004,1254
1.4400000000000004,1199
1.4600000000000004,1144
1.4800000000000004,1091
1.5000000000000004,1039
1.5200000000000005,987
1.5400000000000005,937
1.5600000000000005,888
1.5800000000000005,840
1.6000000000000005,793
1.6200000000000006,746
1.6400000000000006,701
1.6600000000000006,656
1.6800000000000006,611
1.7000000000000006,568
1.7200000000000006,525
1.7400000000000007,482
1.7600000000000007,440
1.7800000000000007,398
1.8000000000000007,355
1.8200000000000007,313
1.8400000000000007,268
1.8600000000000008,221
1.8800000000000008,139
1.9000000000000008,140
1.9200000000000008,161
1.9400000000000008,205
1.9600000000000009,182
1.9800000000000009,496
